source	target
ADAR	HMGA1
ADAR	JUN
ADAR	STAT1
ADNP	ARID2
ADNP	JUND
ADNP	NFIA
ADNP	SOX11
ADNP	SOX4
ADNP	BAZ2A
ADNP	BCL11A
ADNP	BHLHE40
ADNP	BPTF
ADNP	FOXS1
ADNP2	AHCTF1
ADNP2	ARID2
ADNP2	CBX2
ADNP2	GPBP1L1
ADNP2	KDM5B
ADNP2	KLF3
AEBP1	GLIS2
AEBP1	PRRX2
AEBP2	ARID2
AEBP2	EEA1
AEBP2	FOXN3
AEBP2	MEF2A
AEBP2	NFAT5
AEBP2	SKIL
AFF1	AHCTF1
AFF1	ATF4
AFF4	AHCTF1
AFF4	ASH1L
AHCTF1	ARID2
AHCTF1	KDM5B
AHCTF1	MBD1
AHDC1	NFIX
AHDC1	PRR12
AHDC1	CASZ1
AHDC1	FOXP4
AHDC1	MEF2D
AHDC1	NFIC
AHR	KLF6
AHR	KLF9
AHR	NFE2L2
AHR	BHLHE40
AHR	ESR1
AHR	FOS
AHR	HIF1A
AHR	KLF4
AHR	RUNX1
AHR	BCL6
AHR	EGR2
AHR	FOSL2
AHR	FOXA1
AHR	JUNB
AHRR	ARNT
AHRR	ATF5
AHRR	CEBPB
AIRE	FOS
AIRE	IRF1
AIRE	ATF3
AIRE	EGR1
AIRE	FOSB
AIRE	IRF8
AIRE	KLF4
AIRE	KLF6
AIRE	NFKB1
AKAP8	MYC
AKAP8	NR5A1
AKAP8	SAFB
AKAP8	SAFB2
AKAP8	SPEN
AKAP8L	MXD4
AKAP8L	MYC
AKAP8L	NR5A1
AKAP8L	SAFB
AKAP8L	SAFB2
AKNA	FLI1
AKNA	IKZF1
AKNA	ELF4
AKR1B1	AKNA
ALX1	EMX2
ALX1	FOXC1
ALX1	HMGA2
ALX1	HOXC10
ALX1	HOXD13
ALX1	HOXD8
ALX1	IRX1
ALX1	MSX2
ALX1	PAX3
ALX3	ALX4
ALX3	EMX2
ALX3	INSM1
ALX3	LHX2
ALX3	NR5A1
ALX3	PAX9
ALX3	SIX3
ALX3	ALX1
ALX3	ASCL1
ALX3	ASCL2
ALX3	ATF3
ALX3	BARX1
ALX4	LMX1B
ALX4	PRRX1
ALX4	TWIST1
ALX4	ALX1
ALX4	ALX3
ALX4	CASZ1
ALX4	EN1
ALX4	FOXA1
ALX4	FOXC1
ALX4	GATA3
ANHX	DMRT1
ANHX	DMRTB1
ANHX	DMRTC2
ANKZF1	ZNF692
ANKZF1	AKAP8L
ANKZF1	ATF6B
ANKZF1	CREBZF
ANKZF1	IRF3
AR	EHF
AR	KLF6
AR	ETS1
AR	FOXA1
AR	GRHL2
AR	JUN
AR	KLF9
AR	NCOA3
AR	PRDM1
AR	SOX9
AR	ZBTB16
AR	ZNF697
AR	BHLHE40
AR	CREB3L1
AR	DMRTA1
AR	FOXB1
AR	FOXO3
AR	HIF1A
AR	KLF4
AR	MAF
AR	MAFB
AR	MBD2
AR	MECOM
AR	MYC
AR	NCOA1
AR	NCOA2
AR	NFIA
AR	NR2F2
AR	NR3C2
AR	POU5F1B
AR	RFX6
AR	RORA
AR	SMAD3
AR	TCF20
AR	THRB
AR	ZBTB1
ARGFX	DUXA
ARGFX	SNAI1
ARGFX	AKAP8
ARGFX	ASCL1
ARGFX	BCL11B
ARGFX	CDC5L
ARHGAP35	ATMIN
ARHGAP35	BCL6
ARID2	BAZ2A
ARID2	DOT1L
ARID2	EGR1
ARID2	KLF6
ARID2	ADNP
ARID2	AHCTF1
ARID2	CAMTA2
ARID2	CBX2
ARID2	CEBPA
ARID2	CIC
ARID2	CLOCK
ARID2	HMGA1
ARID3A	JUN
ARID3A	FOS
ARID3A	JUND
ARID3A	ARID3B
ARID3A	HMGA2
ARID3A	JUNB
ARID3A	KLF4
ARID3A	ARID5B
ARID3A	BHLHE40
ARID3A	CEBPB
ARID3A	DNMT1
ARID3A	E2F2
ARID3A	EGR1
ARID3A	ERF
ARID3A	ETS1
ARID3A	FIZ1
ARID3A	FOSB
ARID3A	FOSL1
ARID3A	IRF1
ARID3A	KLF6
ARID3A	MAFF
ARID3A	MYC
ARID3A	NFE2
ARID3A	PEG3
ARID3A	POU3F1
ARID3A	SALL2
ARID3B	ARID3A
ARID3B	AR
ARID3B	NANOG
ARID3B	NEUROG3
ARID3B	NKX1-2
ARID3B	OTX2
ARID3B	RUNX3
ARID3C	NR1I2
ARID5A	RARA
ARID5A	AKNA
ARID5A	CEBPB
ARID5B	EEA1
ARID5B	FOXN3
ARID5B	FOXO1
ARID5B	FOXO3
ARID5B	KLF9
ARID5B	MAFF
ARID5B	NFIL3
ARNT	ESR1
ARNT	BCL6
ARNT	EPAS1
ARNT	FOS
ARNT	JUN
ARNT	MAX
ARNT	NCOA2
ARNT	NCOA3
ARNT	RARA
ARNT	RREB1
ARNT	SP1
ARNT	SP3
ARNT	AHR
ARNT	ATF4
ARNT	BAZ2A
ARNT	BHLHE40
ARNT2	EPAS1
ARNT2	MEIS2
ARNT2	NCOA3
ARNT2	NPAS3
ARNTL	BCL6
ARNTL	BHLHE40
ARNTL	HIF1A
ARNTL	JUN
ARNTL	NFIL3
ARNTL	NPAS2
ARNTL	NR1D1
ARNTL	RARA
ARNTL	AHR
ARNTL	BHLHE41
ARNTL2	AHR
ARNTL2	CLOCK
ARNTL2	E2F7
ARNTL2	EGR1
ARNTL2	EHF
ARX	BCL11A
ARX	BCL11B
ARX	BHLHE40
ARX	DLX1
ARX	DLX2
ARX	EBF1
ARX	EBF3
ASCL1	JUN
ASCL1	SOX4
ASCL1	FOS
ASCL1	HES6
ASCL1	INSM1
ASCL1	OLIG1
ASCL1	OLIG2
ASCL1	POU3F3
ASCL1	SALL1
ASCL1	SOX6
ASCL1	SOX9
ASCL2	BCL11B
ASCL2	CDX2
ASCL2	CEBPB
ASCL2	GATA3
ASCL2	IRF1
ASCL3	ELF3
ASCL3	FOXI1
ASCL3	FOXJ1
ASCL3	LTF
ASCL3	RUNX1
ASCL4	CASZ1
ASCL4	DLX2
ASCL4	DLX3
ASCL4	GATA3
ASCL4	HOXC13
ASCL4	MSX2
ASCL4	MYCN
ASCL4	SIM1
ASCL4	TFAP2A
ASCL5	ALX3
ASCL5	BHLHA15
ASH1L	BPTF
ASH1L	HIVEP2
ASH1L	KMT2A
ASH1L	SPEN
ASH1L	BAZ2B
ASH1L	CLOCK
ASIC2	GRHL3
ASIC2	HES2
ATF1	JUNB
ATF1	CREB1
ATF1	FOSL1
ATF1	KLF6
ATF1	ANKZF1
ATF1	ATF6
ATF1	BCL6
ATF1	BHLHE40
ATF1	CEBPB
ATF1	DMTF1
ATF1	E2F4
ATF1	E4F1
ATF1	ERF
ATF1	FIZ1
ATF1	FOS
