source	target
ATF1	FOSL2
ATF2	ATF4
ATF2	FOS
ATF2	FOSL1
ATF2	JUND
ATF2	TP53
ATF2	ADNP
ATF2	ATF7
ATF2	BAZ2B
ATF2	BCL6
ATF2	CREB1
ATF2	HMGA1
ATF2	JUNB
ATF2	MEF2A
ATF2	NFE2L2
ATF2	NR4A3
ATF2	ZNF3
ATF2	ZNF335
ATF2	ADNP2
ATF3	DDIT3
ATF3	FOSL2
ATF3	MAFG
ATF3	BCL6
ATF3	CEBPB
ATF3	CSRNP1
ATF3	FOSL1
ATF3	JUN
ATF3	JUND
ATF3	KLF6
ATF3	NFX1
ATF3	FOS
ATF3	FOSB
ATF3	JUNB
ATF3	KLF10
ATF3	MLX
ATF3	NR1D1
ATF3	NR1D2
ATF3	PURB
ATF3	RLF
ATF3	ZNF367
ATF3	ATF4
ATF3	BHLHE40
ATF3	DNTTIP1
ATF3	EGR1
ATF3	ETS2
ATF3	HBP1
ATF4	CEBPG
ATF4	DDIT3
ATF4	ATF3
ATF4	BHLHE40
ATF4	CEBPB
ATF4	FOS
ATF4	FOSL2
ATF4	JUN
ATF4	JUNB
ATF5	CEBPA
ATF5	CEBPB
ATF5	NFKB2
ATF5	RELB
ATF6	NFE2
ATF6	ARID5B
ATF6	ATF4
ATF6	CREB1
ATF6	CREB3L2
ATF6	EGR1
ATF6	ELK4
ATF6B	DMRTA1
ATF6B	HOXD10
ATF6B	HOXD11
ATF6B	HOXD13
ATF7	CREB3L2
ATF7	EPAS1
ATF7	FOS
ATF7	FOXN3
ATF7	JUNB
ATF7	KLF6
ATF7	NFIC
ATF7	SP1
ATF7	SPEN
ATF7	ARHGAP35
ATF7	ARNT
ATF7	BAZ2A
ATMIN	ARHGAP35
ATMIN	ZFP91
ATMIN	AHCTF1
ATMIN	ARID5B
ATOH1	CDX1
ATOH1	CDX2
ATOH1	CREB3L1
ATOH1	FOXD1
ATOH1	GFI1
ATOH1	HOXB5
ATOH1	INSM1
ATOH1	LHX3
ATOH1	MYB
ATOH1	POU4F3
ATOH7	DACH1
ATOH7	EBF3
ATOH7	NR2E1
ATOH7	ONECUT2
ATOH7	PAX6
ATOH8	CEBPD
ATOH8	EBF1
ATOH8	EPAS1
ATOH8	FOXO1
ATOH8	KLF15
BACH1	JUNB
BACH1	FOS
BACH1	LBX2
BACH1	MAFF
BACH1	NFAT5
BACH1	NFE2L2
BACH1	NR4A2
BACH1	SMAD3
BACH1	ZNF217
BACH1	ZNF335
BACH1	ZNF45
BACH1	ZNF554
BACH1	ZNF584
BACH1	ZNF837
BACH1	ARID3A
BACH1	ARID5B
BACH1	ATF3
BACH1	ATF7
BACH1	BACH2
BACH1	BCL6
BACH1	BHLHE40
BACH1	BRF2
BACH1	CC2D1A
BACH1	CEBPB
BACH1	CEBPD
BACH2	BCL6
BACH2	FOXO1
BACH2	FOXO3
BACH2	HIVEP3
BACH2	KLF6
BACH2	NFE2L1
BACH2	NR4A1
BACH2	POU2F2
BACH2	SATB1
BACH2	SMAD3
BACH2	ZHX2
BACH2	AKNA
BARHL1	BARHL2
BARHL1	ZIC1
BARHL1	ZIC4
BARHL1	EN2
BARHL1	LHX9
BARHL1	NEUROD1
BARHL1	NEUROD2
BARHL1	NHLH2
BARHL1	NR2F1
BARHL1	OTX1
BARHL2	NHLH2
BARHL2	UNCX
BARHL2	ZIC1
BARHL2	ZIC4
BARHL2	BARHL1
BARHL2	DMRTA2
BARHL2	EBF3
BARHL2	EMX1
BARHL2	EMX2
BARHL2	EN2
BARHL2	EOMES
BARHL2	INSM1
BARX1	SIX2
BARX1	CEBPA
BARX1	DLX4
BARX1	FOXD1
BARX1	FOXF1
BARX1	FOXF2
BARX1	GFI1
BARX1	HAND2
BARX1	HMX1
BARX1	HOXA13
BARX1	HOXB2
BARX1	HOXB3
BARX2	EHF
BARX2	GRHL2
BARX2	GRHL3
BARX2	KLF5
BARX2	PITX1
BARX2	ZBTB7C
BARX2	ELF3
BATF	IRF7
BATF	ATF3
BATF	IKZF1
BATF	IRF2
BATF	IRF4
BATF	IRF5
BATF	PRDM1
BATF	RUNX3
BATF	SP110
BATF	SP140
BATF2	IRF1
BATF2	IRF7
BATF2	IRF9
BATF3	BATF
BATF3	ARID5A
BATF3	IRF4
BATF3	IRF5
BATF3	IRF7
BAZ2A	DOT1L
BAZ2A	KDM2A
BAZ2A	SRCAP
BAZ2A	ARID2
BAZ2A	DNMT1
BAZ2B	ASH1L
BAZ2B	BPTF
BAZ2B	DMTF1
BAZ2B	KMT2A
BAZ2B	LCOR
BAZ2B	MBD1
BAZ2B	TET2
BBX	ARID2
BBX	EEA1
BBX	MBD1
BBX	TEAD1
BBX	ANHX
BBX	ARID5B
BCL11A	KLF6
BCL11A	MYB
BCL11A	BCL11B
BCL11A	BHLHE40
BCL11A	CXXC4
BCL11A	EGR1
BCL11A	HIVEP2
BCL11A	JUNB
BCL11A	NR4A3
BCL11A	PRDM1
BCL11A	ADNP
BCL11A	ARID3A
BCL11A	ARID5B
BCL11A	ATF3
BCL11A	BACH2
BCL11B	BCL11A
BCL11B	RORA
BCL11B	BACH2
BCL11B	EBF1
BCL11B	EGR3
BCL11B	ETS1
BCL11B	FOS
BCL6	IRF1
BCL6	BACH2
BCL6	CEBPB
BCL6	IRF4
BCL6	JUNB
BCL6	JUND
BCL6	KLF2
BCL6	MXI1
BCL6	PRDM1
BCL6	SPI1
BCL6	BHLHE40
BCL6	CREB5
BCL6	CSRNP1
BCL6	DOT1L
BCL6	HOXA3
BCL6	HOXA7
BCL6	IRF8
BCL6	KLF10
BCL6	KLF6
BCL6	MAF
BCL6	MYC
BCL6	NR4A1
BCL6	RARA
BCL6	SPIB
BCL6	TFEB
BCL6	ZBTB7B
BCL6B	ELK3
BCL6B	EPAS1
BCL6B	ERG
BCL6B	FLI1
BHLHA15	EHF
BHLHA15	PTF1A
BHLHA9	DPF1
BHLHA9	FOXD4
BHLHE22	ZBTB18
BHLHE22	CENPBD1
BHLHE22	CXXC5
BHLHE22	IRF4
BHLHE22	IRF5
BHLHE22	NEUROD6
BHLHE23	IKZF2
BHLHE23	MYBL2
BHLHE23	AEBP1
BHLHE40	MAFF
BHLHE40	NR1D1
BHLHE40	STAT6
BHLHE40	HLF
BHLHE40	HSF2
BHLHE40	JUNB
BHLHE40	KLF10
BHLHE40	KLF11
BHLHE40	RFX5
BHLHE40	ATF7
BHLHE40	BATF2
BHLHE40	BHLHE41
BHLHE40	CEBPB
BHLHE40	CTCF
BHLHE40	E2F4
BHLHE40	FOS
BHLHE40	FOSL1
BHLHE40	HES1
BHLHE40	KLF6
BHLHE40	MXD3
BHLHE40	NFKB2
BHLHE40	RARA
BHLHE40	REPIN1
BHLHE40	TCF3
BHLHE40	TFAP4
BHLHE40	THAP5
BHLHE40	ZNF276
BHLHE40	ZNF292
BHLHE40	ZNF367
BHLHE40	ZNF394
BHLHE40	ZNF395
BHLHE40	ZNF513
BHLHE41	CEBPB
BHLHE41	BHLHE40
BNC1	ATF3
BNC1	ATF4
BNC1	BHLHE40
BNC2	PBX1
BNC2	NR2F2
BNC2	TEAD1
BNC2	TSHZ3
BNC2	ARID5B
BNC2	EPAS1
BNC2	ETS1
BORCS8MEF2B	MEF2B
BPTF	ADNP
BPTF	ASH1L
BPTF	BAZ2B
BPTF	KMT2A
BPTF	POU2F1
BRF2	TBP
BRF2	AHDC1
BRF2	ARID3A
BRIP1	ELF4
BRIP1	SP1
BRIP1	TET2
BSX	DLX1
BSX	FEZF1
BSX	FOXB1
BSX	GSX1
BSX	LHX5
BSX	ONECUT1
BSX	OTP
BSX	PRDM13
BSX	SOX14
BSX	AIRE
BSX	ALX1
C11ORF95	BNC2
C11ORF95	DZIP1
CAMTA1	MYT1L
CAMTA1	ARID5B
CAMTA1	ARNT2
CAMTA2	MEF2D
CAMTA2	NFIX
CAMTA2	PRR12
CAMTA2	SGSM2
CASZ1	IRX3
CASZ1	KLF5
CASZ1	GATA3
CASZ1	GRHL2
CASZ1	KLF4
CASZ1	NFIC
CBLL2	CPXCR1
CBX2	HOXC10
CBX2	ALX3
CBX2	ATF3
CBX2	BARHL2
CBX2	BCL11A
CBX2	EMX1
CBX2	ETV2
CBX2	HOXA5
CBX2	LHX9
CBX2	MSX1
CBX2	PAX7
CBX2	TAL1
CBX2	ALX1
CBX2	ARX
CBX2	BHLHE23
CBX2	BNC1
CBX2	CAMTA1
CBX2	CASZ1
CBX2	DMRT1
CBX2	DMRTA2
CBX2	DMRTB1
CBX2	EGR1
CBX2	EMX2
CBX2	EN1
CBX2	ETV5
CBX2	EVX1
CBX2	EVX2
CBX2	FOXB1
CC2D1A	SREBF2
CC2D1A	AKAP8L
CC2D1A	ANKZF1
CCDC169SOHLH2	EVX2
CCDC17	FOXJ1
CDC5L	CEBPZ
CDC5L	SON
CDC5L	THAP1
CDC5L	AKAP8
CDKN2AIP	ZNF574
CDKN2AIP	ADNP
CDKN2AIP	ARHGAP35
CDKN2AIP	ARID2
CDX1	CDX2
CDX1	HNF4A
CDX1	VDR
CDX1	ATOH1
CDX1	CEBPA
CDX1	ELF3
CDX1	HNF4G
CDX2	ELF3
CDX2	CDX1
CDX2	GATA6
CDX2	HNF4A
CDX2	HOXA3
CDX2	JUN
CDX2	SATB2
CDX2	ARID5B
CDX2	ATF3
CDX2	FOXQ1
CDX2	HNF1A
CDX2	HOXA4
CDX2	HOXA5
CDX2	HOXB5
CDX2	HOXB6
CDX2	HOXB7
CDX2	HOXB9
CDX2	HOXC4
CDX2	HOXC6
CDX2	HOXC8
CDX2	KLF6
CDX2	PRRX1
CDX2	SMYD3
CDX2	SOX4
CDX2	TCF7L2
CDX2	AHCTF1
CDX2	CEBPA
CDX2	CREB3L1
CDX4	DLX3
CDX4	GATA3
CDX4	HAND1
CDX4	IRF6
CDX4	KLF4
CDX4	LIN28A
CDX4	NANOG
CDX4	NR6A1
CDX4	PITX1
CEBPA	CEBPB
CEBPA	ATF3
CEBPA	BHLHE40
CEBPA	CEBPD
CEBPA	EGR2
CEBPA	FOSB
CEBPA	JUN
CEBPA	KLF4
CEBPA	KLF6
CEBPA	MEIS1
CEBPA	ARID3A
CEBPA	BCL6
CEBPA	CEBPE
CEBPA	CEBPG
CEBPA	EPAS1
CEBPA	ESRRA
CEBPA	FOS
CEBPA	FOSL1
CEBPA	GFI1
CEBPA	HHEX
CEBPA	MYC
CEBPA	NFE2
CEBPA	NFIL3
CEBPB	BCL6
CEBPB	NFE2L2
CEBPB	DDIT3
CEBPB	ETV6
CEBPB	KLF6
CEBPB	MEIS1
CEBPB	DLX1
CEBPB	IRF2
CEBPB	MNT
CEBPB	JUN
CEBPB	JUNB
CEBPB	MBD6
CEBPB	NFIL3
CEBPB	NFX1
CEBPB	ATF6
CEBPB	FOSL1
CEBPB	SNAI2
CEBPB	STAT1
CEBPB	STAT3
CEBPB	STAT6
CEBPB	ZBTB10
CEBPB	ARID5B
CEBPB	ARNT
CEBPB	ATF1
CEBPB	ATF4
CEBPB	BHLHE40
CEBPB	BHLHE41
CEBPB	E2F2
CEBPB	E4F1
CEBPB	JDP2
CEBPB	MYC
CEBPB	SNAPC5
CEBPB	TGIF1
CEBPB	TOPORS
CEBPB	YBX3
CEBPB	ZBTB25
CEBPB	ZNF280A
CEBPB	ATF3
CEBPB	BRF2
CEBPB	CEBPG
CEBPB	CTCF
CEBPB	HBP1
CEBPB	HMG20A
CEBPB	IKZF5
CEBPB	ISL2
CEBPB	MAFF
CEBPB	MBNL2
CEBPB	NR3C1
CEBPB	NR4A3
CEBPB	PHF21A
CEBPD	CEBPB
CEBPD	NFIL3
CEBPD	JUNB
CEBPD	KLF6
CEBPD	ATF4
CEBPD	BHLHE40
CEBPD	DDIT3
CEBPD	FOS
CEBPD	FOSL2
CEBPD	GMEB2
CEBPD	JUND
CEBPD	KLF3
CEBPD	KLF4
CEBPD	NFE2L2
CEBPD	TFE3
CEBPD	XBP1
CEBPD	AEBP2
CEBPD	AHR
CEBPE	CEBPA
CEBPE	CHAMP1
CEBPE	GATA1
CEBPE	GFI1
CEBPE	LYL1
CEBPG	ATF3
CEBPG	ATF4
CEBPG	CEBPB
CEBPG	DDIT3
CEBPG	FOS
CEBPG	ATF5
CEBPG	CEBPA
CEBPG	EGR1
CEBPG	FOSL1
CEBPG	KLF10
CEBPG	KLF2
CEBPZ	MXD4
CEBPZ	PA2G4
CEBPZ	YBX1
CEBPZ	AKAP8L
CEBPZ	ANKZF1
CEBPZ	ATF6B
CEBPZ	BHLHE40
CEBPZ	BORCS8-MEF2B
CEBPZ	CAMTA1
CEBPZ	CDC5L
CEBPZ	CREB3L4
CEBPZ	DNMT1
CENPA	DNMT1
CENPA	MYBL2
CENPB	MAZ
CENPB	RXRA
CENPB	YBX1
CENPB	ATF4
CENPB	ATF5
CENPBD1	ZNF674
CENPBD1	ARHGAP35
CENPBD1	GTF2IRD2
CENPS	BHLHE40
CENPT	ZNF692
CENPT	AKAP8L
CENPT	CENPA
CENPX	BBX
CGGBP1	CREBZF
CGGBP1	GABPA
CGGBP1	SP3
CHAMP1	CEBPE
CHAMP1	LTF
CHCHD3	FOXA2
CHD1	EEA1
CHD1	ELF2
CHD1	MBD1
CIC	DOT1L
CIC	KLF13
CIC	KMT2B
CIC	MBD6
CIC	MEF2D
CIC	NFE2L1
CLOCK	ARNTL
CLOCK	ASH1L
CLOCK	BHLHE40
CLOCK	CEBPB
CLOCK	DBP
CLOCK	EGR1
CLOCK	FOS
CLOCK	MEF2A
CLOCK	STAT3
CLOCK	ARID2
CLOCK	BCL6
CLOCK	BHLHE41
CLOCK	EEA1
CLOCK	ELK4
CPEB1	ARID3A
CPEB1	ARID5B
CPEB1	BACH2
CPXCR1	FAM170A
CPXCR1	SOX30
CREB1	MAFF
CREB1	MAFK
CREB1	ATF6
CREB1	CEBPB
CREB1	FOS
CREB1	HLF
CREB1	TMF1
CREB1	ANKZF1
CREB1	BCL6
CREB1	CDC5L
CREB1	DMTF1
CREB1	DNTTIP1
CREB1	ETV3
CREB1	FOSL1
CREB1	GTF2B
CREB1	KLF6
CREB1	MTF1
CREB1	NR4A2
CREB1	RLF
CREB1	SOX12
CREB1	XBP1
CREB1	YY1
CREB1	ZNF222
CREB1	ZNF426
CREB1	ZNF576
CREB1	ZNF589
CREB1	ZNF778
CREB1	ADNP2
CREB1	BRF2
CREB1	CEBPZ
CREB1	CREM
CREB1	E4F1
CREB1	EGR1
CREB1	FOSB
CREB1	FOXO3
CREB1	JUN
CREB1	JUND
CREB1	KDM5B
CREB1	NR1D1
CREB1	SNAPC5
CREB1	SREBF2
CREB1	ZBTB40
CREB1	ZNF121
CREB1	ZNF26
CREB3	DDIT3
CREB3	ATF3
CREB3	ATF4
CREB3	BHLHE40
CREB3	CREB3L1
CREB3L1	AEBP1
CREB3L1	BHLHE40
CREB3L1	CREB3L2
CREB3L1	DDIT3
CREB3L1	FOS
CREB3L1	FOXA3
CREB3L1	JUN
CREB3L1	JUNB
CREB3L1	NFIX
CREB3L2	CREB3L1
CREB3L2	EPAS1
CREB3L2	NFAT5
CREB3L2	NR4A2
CREB3L3	HNF4A
CREB3L3	MLXIPL
CREB3L4	CREM
CREB3L4	SP1
CREB3L4	ARHGAP35
CREB3L4	ATF3
CREB5	BCL6
CREB5	FOS
CREB5	FOSL1
CREB5	FOSL2
CREB5	JUN
CREBL2	KLF9
CREBL2	ZBTB4
CREBL2	ARID5B
CREBL2	ATF3
CREBZF	DMTF1
CREBZF	KMT2A
CREBZF	MYSM1
CREBZF	NFAT5
CREBZF	PURB
CREBZF	SMAD4
CREM	CSRNP1
CREM	NR4A1
CREM	NR4A2
CREM	ARID5A
CREM	ATF4
CREM	CREB3L4
CREM	FOS
CREM	FOSB
CREM	FOSL1
CREM	FOXO3
CREM	JUNB
CREM	JUND
CREM	KLF6
CREM	MAFF
CREM	MAZ
CREM	MXI1
CREM	REL
CREM	AHDC1
CREM	AHR
CREM	ANKZF1
CREM	ARHGAP35
CREM	ARNTL
CREM	BCL6
CREM	BCL6B
CREM	BHLHE40
CREM	CAMTA1
CRX	NRL
CRX	PBX1
CRX	PROX1
CRX	RXRG
CRX	ATF3
CRX	CREB1
CRX	E2F1
CRX	EGR1
CRX	EGR2
CRX	ESR1
CRX	ESRRG
CRX	FOXO3
CRX	GBX2
CRX	GLI2
CRX	HNF1A
CRX	IRF1
CRX	MEIS1
CSRNP1	AKNA
CSRNP1	ARID5A
CSRNP1	ATF3
CSRNP1	CEBPB
CSRNP2	ARHGAP35
CSRNP2	ARNT2
CSRNP3	ARNT2
CTCF	ZBTB33
CTCF	IRF9
CTCF	NR2C1
CTCF	PRDM1
CTCF	POU2F1
CTCF	FOXA3
CTCF	HIC1
CTCF	ZNF282
CTCF	CEBPA
CTCF	CREB3L4
CTCF	ZNF268
CTCF	ZNF398
CTCF	CREM
CTCF	ZNF425
CTCF	ZNF691
CTCF	ZNF746
CTCF	ZBTB45
CTCF	ZNF341
CTCF	ZNF783
CTCF	TBX1
CTCF	ZNF219
CTCF	ZNF266
CTCF	ZNF554
CTCF	ZNF607
CTCF	CUX1
CTCF	NCOA3
CTCF	THAP2
CTCF	ZNF555
CTCF	ZSCAN12
CTCF	ATMIN
CTCF	ZNF589
CTCF	ZNF674
CTCF	GATA6
CTCF	SNAPC5
CTCF	ZBTB39
CTCF	ZNF114
CTCF	ZNF786
CTCF	BATF2
CTCF	CEBPB
CTCF	PIN1
CTCF	ZNF180
CTCF	ZNF212
CTCF	ZNF280C
CTCF	CLOCK
CTCF	PKNOX2
CTCF	ZNF611
CTCF	MTERF1
CTCF	ZNF594
CTCF	MYSM1
CTCF	RBPJL
CTCF	ZNF814
CTCF	BARX2
CTCF	NR4A3
CTCF	ZNF354A
CTCF	HOXC10
CTCF	ZFP64
CTCF	SRF
CTCF	ZNF697
CTCF	ETS2
CTCF	ZNF140
CTCF	NRF1
CTCF	PPARD
CTCF	TBX21
CTCF	ZEB2
CTCF	EOMES
CTCF	TIGD4
CTCF	ZNF548
CTCFL	CENPB
CTCFL	JUND
CTCFL	NR6A1
CTCFL	SATB2
CTCFL	ZNF843
CTCFL	CBX2
CTCFL	CEBPA
CTCFL	CEBPB
CTCFL	CREM
CTCFL	DBP
CTCFL	E2F1
CTCFL	ESRRA
CTCFL	FOSB
CTCFL	FOSL1
CTCFL	GATA2
CTCFL	GBX1
CTCFL	HIC1
CTCFL	HMGA1
CTCFL	HOXA10
CTCFL	HOXB9
CTCFL	IRF1
CUX1	JUNB
CUX1	MYC
CUX1	NCOA3
CUX1	ZNF217
CUX1	ZNF778
CUX1	ANKZF1
CUX1	BCL6
CUX1	BHLHE40
CUX1	DRAP1
CUX1	E2F8
CUX1	EGR1
CUX1	ETV1
CUX1	FOS
CUX1	KLF6
CUX1	MAX
CUX1	MBD2
CUX1	MEIS1
CUX1	MTF2
CUX1	NFIA
CUX1	SKI
CUX1	SOX4
CUX1	SRCAP
CUX1	SRF
CUX1	TCF12
CUX1	TFAP4
CUX1	VEZF1
CUX1	YY1
CUX1	ZBTB17
CUX1	ZBTB4
CUX1	ZHX2
CUX1	ZNF142
CUX2	MYT1L
CUX2	PBX1
CUX2	ARID3C
CUX2	ARID5B
CXXC1	BHLHE41
CXXC1	CEBPB
CXXC1	DNMT1
CXXC1	MYC
CXXC4	CAMTA1
CXXC4	CSRNP3
CXXC4	MYT1L
CXXC4	NKX2-2
CXXC4	PAX6
CXXC4	POU3F2
CXXC4	SOX4
CXXC4	SP8
CXXC4	ZBTB8B
CXXC4	ARID3A
CXXC4	ARID3C
CXXC4	ATF4
CXXC5	ZIC1
CXXC5	AHDC1
CXXC5	ARHGAP35
DACH1	CXXC4
DACH1	EBF1
DACH1	EBF3
DACH1	EPAS1
DACH1	GLI3
DACH1	JUN
DACH1	MEIS2
DACH1	NCOA3
DACH1	NFIA
DACH1	NR2F1
DACH1	NR4A3
DACH1	PBX1
DACH1	SMAD3
DACH2	CSRNP3
DACH2	MYT1L
DBP	ATF3
DBP	CEBPA
DBP	DDIT3
DBX1	ASCL1
DBX1	BHLHE23
DBX1	DMRT1
DBX1	FOXD1
DBX1	INSM1
DBX1	LHX3
DBX1	LMX1A
DBX1	OTP
DBX1	PAX3
DBX1	POU3F2
DBX1	SALL1
DBX1	SIX6
DBX2	NPAS3
DBX2	OLIG2
DBX2	POU3F2
DBX2	SALL3
DBX2	FOS
DDIT3	JUND
DDIT3	BHLHE40
DDIT3	KLF6
DDIT3	ATF3
DDIT3	ATF4
DDIT3	ATF5
DDIT3	CEBPB
DEAF1	IRF7
DEAF1	CAMTA1
DEAF1	CIC
DEAF1	CREB1
DEAF1	EGR1
DEAF1	FLI1
DEAF1	FOS
DEAF1	IRF3
DEAF1	KLF13
DEAF1	MAZ
DEAF1	MEF2D
DEAF1	NFE2
DLX1	DLX2
DLX1	DLX5
DLX1	DLX6
DLX1	FOXA1
DLX1	FOXG1
DLX1	LHX6
DLX1	SOX1
DLX2	DLX1
DLX2	DLX5
DLX2	SOX11
