source	target
ADAR	HMGA1
ADNP	ARID2
ADNP	JUND
ADNP	NFIA
ADNP2	AHCTF1
ADNP2	ARID2
AEBP1	GLIS2
AEBP2	ARID2
AEBP2	EEA1
AFF1	AHCTF1
AFF4	AHCTF1
AHCTF1	ARID2
AHDC1	NFIX
AHDC1	PRR12
AHR	KLF6
AHR	KLF9
AHR	NFE2L2
AHRR	ARNT
AIRE	FOS
AKAP8	MYC
AKAP8L	MXD4
AKNA	FLI1
AKR1B1	AKNA
ALX1	EMX2
ALX1	FOXC1
ALX3	ALX4
ALX3	EMX2
ALX3	INSM1
ALX4	LMX1B
ALX4	PRRX1
ANHX	DMRT1
ANKZF1	ZNF692
AR	EHF
AR	KLF6
AR	ETS1
AR	FOXA1
AR	GRHL2
AR	JUN
AR	KLF9
AR	NCOA3
ARGFX	DUXA
ARGFX	SNAI1
ARHGAP35	ATMIN
ARID2	BAZ2A
ARID2	DOT1L
ARID2	EGR1
ARID3A	JUN
ARID3A	FOS
ARID3A	JUND
ARID3A	ARID3B
ARID3A	HMGA2
ARID3A	JUNB
ARID3B	ARID3A
ARID3B	AR
ARID3C	NR1I2
ARID5A	RARA
ARID5B	EEA1
ARID5B	FOXN3
ARNT	ESR1
ARNT	BCL6
ARNT	EPAS1
ARNT	FOS
ARNT2	EPAS1
ARNTL	BCL6
ARNTL	BHLHE40
ARNTL2	AHR
ARX	BCL11A
ARX	BCL11B
ASCL1	JUN
ASCL1	SOX4
ASCL1	FOS
ASCL2	BCL11B
ASCL3	ELF3
ASCL4	CASZ1
ASCL4	DLX2
ASCL5	ALX3
ASH1L	BPTF
ASH1L	HIVEP2
ASIC2	GRHL3
ATF1	JUNB
ATF1	CREB1
ATF1	FOSL1
ATF1	KLF6
ATF2	ATF4
ATF2	FOS
ATF2	FOSL1
ATF2	JUND
ATF3	DDIT3
ATF3	FOSL2
ATF3	MAFG
ATF3	BCL6
ATF3	CEBPB
ATF3	CSRNP1
ATF4	CEBPG
ATF4	DDIT3
ATF5	CEBPA
ATF6	NFE2
ATF7	CREB3L2
ATF7	EPAS1
ATF7	FOS
ATMIN	ARHGAP35
ATOH1	CDX1
ATOH1	CDX2
ATOH7	DACH1
ATOH8	CEBPD
BACH1	JUNB
BACH1	FOS
BACH1	LBX2
BACH1	MAFF
BACH1	NFAT5
BACH1	NFE2L2
BACH2	BCL6
BACH2	FOXO1
BARHL1	BARHL2
BARHL1	ZIC1
BARHL2	NHLH2
BARHL2	UNCX
BARHL2	ZIC1
BARX1	SIX2
BARX1	CEBPA
BARX1	DLX4
